semilla	cp	maxdepth	minsplit	minbucket	ganancia_test
922123	-0.6	7	320	64	55300000
502057	-0.6	7	320	64	48280000
324991	-0.6	7	320	64	42400000
289603	-0.6	7	320	64	49470000
313381	-0.6	7	320	64	50570000
529049	-0.6	7	320	64	50590000
237287	-0.6	7	320	64	48040000
619819	-0.6	7	320	64	48940000
911269	-0.6	7	320	64	42570000
536189	-0.6	7	320	64	43710000
490927	-0.6	7	320	64	46030000
276371	-0.6	7	320	64	46470000
121321	-0.6	7	320	64	47220000
868157	-0.6	7	320	64	50240000
739201	-0.6	7	320	64	57210000
340393	-0.6	7	320	64	46910000
967831	-0.6	7	320	64	50740000
171329	-0.6	7	320	64	50260000
919859	-0.6	7	320	80	47900000
137437	-0.6	7	320	80	43540000
922123	-0.6	7	320	80	53820000
502057	-0.6	7	320	80	47300000
324991	-0.6	7	320	80	45010000
289603	-0.6	7	320	80	49650000
313381	-0.6	7	320	80	49330000
529049	-0.6	7	320	80	49630000
237287	-0.6	7	320	80	47500000
619819	-0.6	7	320	80	49140000
911269	-0.6	7	320	80	44800000
536189	-0.6	7	320	80	45660000
490927	-0.6	7	320	80	45130000
276371	-0.6	7	320	80	48700000
121321	-0.6	7	320	80	48840000
868157	-0.6	7	320	80	48140000
739201	-0.6	7	320	80	57890000
340393	-0.6	7	320	80	47930000
967831	-0.6	7	320	80	51730000
171329	-0.6	7	320	80	48740000
919859	-1	8	320	32	53620000
137437	-1	8	320	32	46970000
922123	-1	8	320	32	51560000
502057	-1	8	320	32	48020000
324991	-1	8	320	32	43760000
289603	-1	8	320	32	50730000
313381	-1	8	320	32	4.7e+07
529049	-1	8	320	32	49820000
237287	-1	8	320	32	46340000
619819	-1	8	320	32	48120000
911269	-1	8	320	32	42120000
536189	-1	8	320	32	45530000
490927	-1	8	320	32	42080000
276371	-1	8	320	32	47490000
121321	-1	8	320	32	45550000
868157	-1	8	320	32	47210000
739201	-1	8	320	32	52640000
340393	-1	8	320	32	47400000
967831	-1	8	320	32	55460000
171329	-1	8	320	32	48090000
919859	-1	8	320	48	49050000
137437	-1	8	320	48	4.8e+07
922123	-1	8	320	48	53070000
502057	-1	8	320	48	49950000
324991	-1	8	320	48	45060000
289603	-1	8	320	48	48570000
313381	-1	8	320	48	48800000
529049	-1	8	320	48	52060000
237287	-1	8	320	48	45980000
619819	-1	8	320	48	47160000
911269	-1	8	320	48	42310000
536189	-1	8	320	48	45700000
490927	-1	8	320	48	44160000
276371	-1	8	320	48	47720000
121321	-1	8	320	48	45780000
868157	-1	8	320	48	46390000
739201	-1	8	320	48	53340000
340393	-1	8	320	48	45300000
967831	-1	8	320	48	52990000
171329	-1	8	320	48	48360000
919859	-1	8	320	64	50210000
137437	-1	8	320	64	48070000
922123	-1	8	320	64	52390000
502057	-1	8	320	64	46540000
324991	-1	8	320	64	44880000
289603	-1	8	320	64	49960000
313381	-1	8	320	64	48090000
529049	-1	8	320	64	51700000
237287	-1	8	320	64	47940000
619819	-1	8	320	64	45620000
911269	-1	8	320	64	44350000
536189	-1	8	320	64	45560000
490927	-1	8	320	64	45510000
